id;Date;Aéroport_départ;depart_x;depart_y;Aéroport_Destination;destination_x;destination_y;départ_IATA;destination_IATA;Heurelocale;HeureArrivé;Durée_trajet;Compagnie;Num_Vol;Prix_Camp1;
85;2021-04-23;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;Aéroport de Paris-Charles de Gaulle;49.0142434999854;2.544806865954252;FRA;CDG;08:00;09:30;01:30;Lufthansa;LH1026;124;
86;2021-04-23;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;Antalya Airport;36.90591678165104;30.80168679901064;FRA;AYT;09:10;13:00;03:50;SunExpress;XQ141;180;
87;2021-04-23;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;FRA;AMS;11:45;12:55;01:05;Lufthansa;LH988;150;
88;2021-04-23;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;FRA;AMS;12:30;13:37;01:07;KLM;KL1766;100;
89;2021-04-23;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;Heathrow Airport;51.47397190914563;-0.4547353841720964;FRA;LHR;13:05;14:40;01:35;British Airways;BA907;150;
90;2021-04-23;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;Aeropuerto de Adolfo Suárez Madrid-Barajas;40.49848719017528;-3.5676196599853203;FRA;MAD;13:30;16:00;02:30;Lufthansa;LH1114;60;
91;2021-04-23;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;Cairo International Airport;50.04636632467995;8.561325677686595;FRA;CAI;14:05;18:50;04:45;Lufthansa;LH580;350;
92;2021-04-23;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;Aéroport de Moscou-Cheremetievo;55.9741553226849;37.412529654098726;FRA;SVO;15:25;18:54;03:29;Aeroflot;SU2301;250;
93;2021-04-23;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;Cairo International Airport;30.111387712189778;31.387836926213836;FRA;CAI;16:00;20:50;04:50;Egyptair;MS786;340;
94;2021-04-23;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;Heathrow Airport;51.47397190914563;-0.4547353841720964;FRA;LHR;16:10;17:45;01:35;Lufthansa;LH914;140;
95;2021-04-23;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;FRA;AMS;19:10;20:15;01:05;Lufthansa;LH996;162;
96;2021-04-23;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;Aeropuerto de Adolfo Suárez Madrid-Barajas;40.49848719017528;-3.5676196599853203;FRA;MAD;20:10;22:50;02:40;Air Europa;UX1506;70;
97;2021-04-23;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;Aeropuerto de Adolfo Suárez Madrid-Barajas;40.49848719017528;-3.5676196599853203;FRA;MAD;20:30;23:15;02:45;Iberia;IB3131;69;
98;2021-04-23;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;Aeropuerto de Adolfo Suárez Madrid-Barajas;40.49848719017528;-3.5676196599853203;FRA;MAD;20:30;23:05;02:35;British Airways;BA9042;65;
99;2021-04-23;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;Aeropuerto de Adolfo Suárez Madrid-Barajas;40.49848719017528;-3.5676196599853203;FRA;MAD;21:00;23:40;02:40;Iberia;IB9042;72;
100;2021-04-23;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;FRA;AMS;21:00;22:05;01:05;Lufthansa;LH1002;149;
101;2021-04-23;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;Aéroport de Paris-Charles de Gaulle;49.0142434999854;2.544806865954252;FRA;CDG;06:00;07:15;01:15;Lufthansa;LH1052;129;
102;2021-04-23;Aeropuerto de Adolfo Suárez Madrid-Barajas;40.49848719017528;-3.5676196599853203;Aéroport de Paris-Charles de Gaulle;49.0142434999854;2.544806865954252;MAD;CDG;06:00;08:10;02:10;Air France;AF1401;72;
